Month,Demand_kg,Utilization_0%,Utilization_10%,Utilization_20%,Utilization_30%
2023-01,34907.25,28.53764715500327,31.3914118705036,34.24517658600392,37.098941301504254
2023-02,34858.25,28.497588293001964,31.34734712230216,34.19710595160236,37.04686478090255
2023-03,34898.5,28.530493786788753,31.383543165467632,34.2365925441465,37.08964192282538
2023-04,35080.25,28.67907946370177,31.546987410071942,34.414895356442116,37.2828033028123
2023-05,34605.25,28.29075376062786,31.119829136690647,33.94890451275343,36.777979888816226
2023-06,33874.0,27.692936559843034,30.46223021582734,33.23152387181164,36.000817527795945
2023-07,34467.0,28.177730542838457,30.995503597122305,33.81327665140615,36.631049705689996
2023-08,34498.5,28.20348266841073,31.023830935251805,33.84417920209287,36.66452746893395
2023-09,33753.5,27.594424460431654,30.353866906474824,33.11330935251798,35.872751798561154
2023-10,34250.5,28.00073577501635,30.800809352517987,33.60088293001962,36.40095650752126
2023-11,34126.5,27.89936232831916,30.68929856115108,33.47923479398299,36.26917102681492
2023-12,33790.0,27.624264224983648,30.386690647482013,33.14911706998038,35.91154349247874
NaT,635233.5,519.3210431654676,571.2531474820145,623.1852517985611,675.117356115108
